A CHRISTMAS CAROL	クリスマス・カロル
Suppose somebody should have got over the wall of the back-yard, and stolen it, while they were merry with the goose	仮りにまた一同の者が鵞鳥に夢中になっていた間に、何人かが裏庭の塀を乗りこえて、それを盗んで行ったとしたら
--a supposition at which the two young Cratchits became livid.	――想像しただけで、二人の小クラチットどもが蒼白になってしまったような仮定である。
All sorts of horrors were supposed.	あらゆる種類の恐怖が想像された。
Hallo!	やッ！
A great deal of steam.	素晴らしい湯気だ！
The pudding was out of the copper.	肉饅頭は鍋から取り出された。
A smell like a washing-day!	洗濯日のような臭いがする！
That was the cloth.	それは布片であった。
A smell like an eating-house and a pastrycook's next door to each other, with a laundress's next door to that!	互に隣り合せた料理屋とカステラ屋のまたその隣りに洗濯屋がくっついているような臭いだ！
That was the pudding.	それが肉饅頭であった！
In half a minute Mrs Cratchit entered	一分と経たないうちに、クラチット夫人は這入って来た
--flushed, but smiling proudly	――真赧になって、が、得意気ににこにこ笑いながら
--with the pudding, like a speckled cannon-ball, so hard and firm, blazing in half of half-a-quartern of ignited brandy, and bedight with Christmas holly stuck into the top.	――火の点いた四半パイントの半分のブランディでぽっぽと燃え立っている、そして、その頂辺には聖降誕祭の柊を突き刺して飾り立てた、斑（ふ）入（い）りの砲弾のように、いかにも硬くかつしっかりした肉饅頭を持って這入って来た。
Oh, a wonderful pudding.	おお、素敵な肉饅頭だ！
Bob Cratchit said, and calmly too, that he regarded it as the greatest success achieved by Mrs Cratchit since their marriage.	ボブ・クラチットは、しかも落着き払って、自分はそれを結婚以来クラチット夫人が遣り遂げた成功の最も大なるものと思う旨を述べた。
Mrs Cratchit said that now the weight was off her mind, she would confess she had had her doubts about the quantity of flour.	クラチット夫人は、心の重荷が降りた今では、自分は実は粉の分量について懸念を抱いていたことをうち明けようと思うとも云った。
Everybody had something to say about it,	各自それについて何とか彼とか云った。
but nobody said or thought it was at all a small pudding for a large family.	が、何人もそれが大人数の家庭に取っては、どう見ても小さな肉饅頭であるなぞと云うものもなければ、そう考えるものもなかった。
It would have been flat heresy to do so.	そんな事を云おうものなら、それこそ頭から異端である。
Any Cratchit would have blushed to hint at such a thing.	クラチットの家の者で、そんな事を暗示して顔を赧らめないような者は一人だってなかったろう。
At last the dinner was all done, the cloth was cleared,	とうとう御馳走がすっかり済んだ、食卓布は綺麗に片附けられた。
the hearth swept, and the fire made up.	煖炉も掃除されて、火が焚きつけられた。
The compound in the jug being tasted, and considered perfect, apples and oranges were put upon the table, and a shovel-full of chestnuts on the fire.	壺の調合物は味見をしたところ、申分なしとあって、林檎と蜜柑が食卓の上に、十能に一杯の栗が火の上に載せられた。
Then all the Cratchit family drew round the hearth, in what Bob Cratchit called a circle, meaning half a one;	それからクラチットの家族一同は、ボブ・クラチットの所謂団欒（円周）、実は半円のことであるが、それを成して、煖炉の周囲に集った。
and at Bob Cratchit's elbow stood the family display of glass.	そして、ボブ・クラチットの肱の傍には家中の硝子器と云う硝子器が飾り立てられた
Two tumblers, and a custard-cup without a handle.	――すなわち水飲みのコップ二個と、柄のないカスタード用コップ一個と。
These held the hot stuff from the jug, however, as well as golden goblets would have done;	これ等の容器は、それでも、黄金の大盃と同様に壺から熱い物をなみなみと受け入れた。
and Bob served it out with beaming looks,	ボブは晴れ晴れしい顔附きでそれを注いでしまった。
while the chestnuts on the fire sputtered and cracked noisily.	その間火の上にかかった栗はジウジウ汁を出したり、パチパチ音を立てて割れた。
Then Bob proposed:	それからボブは発議した。――
`A Merry Christmas to us all, my dears!	「さあ皆や、一同に聖降誕祭お目出とう。
God bless us!'	神様よ、私どもを祝福して下さいませ。」
Which all the family re-echoed.	家族の者一同はそれに和した。
`God bless us every one!'	「神様よ、私ども一同を祝福したまわんことを」
said Tiny Tim, the last of all.	と、皆の一番後からちびのティムが云った。
He sat very close to his father's side upon his little stool.	彼は阿父さんの傍にくっついて自分の小さい床几に腰掛けていた。
Bob held his withered little hand in his,	ボブは彼の痩せこけた小さい手を自分の手に握っていた。
as if he loved the child, and wished to keep him by his side, and dreaded that he might be taken from him.	あたかもこの子が可愛くて、しっかり自分の傍に引き附けて置きたい、誰か自分の手許から引き離しやしないかと気遣ってでもいるように。
`Spirit,'	「精霊殿！」
said Scrooge, with an interest he had never felt before,	と、スクルージは今までに覚えのない興味を感じながら云った。
