Alice's Adventures in Wonderland	不思議の国のアリス
`--it was at the great concert given by the Queen of Hearts, and I had to sing	「――ハートの女王さまがやった大コンサートがあって、おれもうたうことになったんよ」
"Twinkle, twinkle, little bat!	「きらきらコウモリよ
How I wonder what you're at!"	おそらで謀（はか）る！」
You know the song, perhaps?'	知ってるだろ、この歌？」
`I've heard something like it,'	「なんかそんなようなのは、きいたことある」
said Alice.	とアリス。
`It goes on, you know,' the Hatter continued, `in this way:--	帽子屋さんはつづけます。
"Up above the world you fly,	「世界のうえを
Like a tea-tray in the sky.	お盆（ぼん）の飛翔（ひしょう）
Twinkle, twinkle--"'	きらきら――」
Here the Dormouse shook itself, and began singing in its sleep	ここでヤマネがみぶるいして、ねむりながらうたいはじめました。
`Twinkle, twinkle, twinkle, twinkle--'	「きらきら、きらきら、きらきら――」
and went on so long that they had to pinch it to make it stop.	そしてこれをいつまでもつづけたので、みんなでつねってなんとかやめさせました。
`Well, I'd hardly finished the first verse,' said the Hatter,	「うん、それでおれが歌の一番もうたいおわらないうちに、
`when the Queen jumped up and bawled out,	女王さんがとびあがって、ぎゃあすか言いやがってさ、
"He's murdering the time!	『こやつ、ひょうしの時間をバラバラにしておるではないか！
Off with his head!"'	首をちょん切れ！』
`How dreadfully savage!'	「まあなんてひどいざんこくな！」
exclaimed Alice.	とアリスはさけびます。
`And ever since that,' the Hatter went on in a mournful tone,	「で、それからずっと、
`he won't do a thing I ask!	時間のやつったら、バラバラにされたのを根にもって、おれのたのみをいっこうにきいてくれやしねぇんだ。
It's always six o'clock now.'	だからいまじゃずっと6時のまんまよ」
A bright idea came into Alice's head.	きゅうにアリスはひらめきました。
`Is that the reason so many tea-things are put out here?' she asked.	「じゃあそれで、お茶のお道具がこんなに出てるのね？」
`Yes, that's it,'	「そ、そゆこと」
said the Hatter with a sigh:	と帽子屋さんはためいきをつきました。
`it's always tea-time, and we've no time to wash the things between whiles.'	「いつでもお茶の時間で、あいまに洗ってるひまがないのよ」
`Then you keep moving round, I suppose?'	「じゃあ、どんどんずれてくわけ」
said Alice.	とアリス。
`Exactly so,' said the Hatter:	「ごめいとう。
`as the things get used up.'	使いおわるとだんだんずれる」
`But what happens when you come to the beginning again?'	「でも最初のところにもどってきたらどうなるの？」
Alice ventured to ask.	アリスはあえてきいてみました。
`Suppose we change the subject,'	三月うさぎがわりこみました。
the March Hare interrupted, yawning.	「そろそろ話題を変えようぜ。
`I'm getting tired of this.	もうあきてきたよ。
I vote the young lady tells us a story.'	このおじょうちゃんがお話をしてくれるのに一票」
`I'm afraid I don't know one,'	「悪いんですけど、なにも知らないの」
said Alice, rather alarmed at the proposal.	とアリスは、この提案にかなりびっくりして言いました。
`Then the Dormouse shall!'	「じゃあヤマネにやらせろ！」
they both cried.	と二人はさけびました。
`Wake up, Dormouse!'	「おいヤマネ、起きろってば！」
And they pinched it on both sides at once.	そして両側から同時につねりました。
The Dormouse slowly opened his eyes.	ヤマネはゆっくり目をあけました。
`I wasn't asleep,'	「ねてないよぉ」
he said in a hoarse, feeble voice:	と、しゃがれたよわよわしい声で言います。
`I heard every word you fellows were saying.'	「おまえたちのせりふ、ぜーんぶきいてたよぉ」
`Tell us a story!'	「お話してくれよぅ！」
said the March Hare.	と三月うさぎ。
`Yes, please do!'	「ええ、おねがい！」
pleaded Alice.	とアリスもたのみます。
`And be quick about it,' added the Hatter,	帽子屋さんが言います。
`or you'll be asleep again before it's done.'	さもねぇと、おわんないうちにねちまうだろ、おめぇ」
`Once upon a time there were three little sisters,'	ヤマネはあわててはじめました。
the Dormouse began in a great hurry;	「むかしむかし、三人姉妹がいなかに住んでおりました。
`and their names were Elsie, Lacie, and Tillie;	なまえは、エルシー、レイシー、ティリー。
and they lived at the bottom of a well--'	そしてこのいなか姉妹は、井戸のそこに住んでいまして――」
