The Wizard of Oz	オズの魔法使い
"I suppose we must try it;	「やるしかないようね。
but I am sure I do not want to kill anybody, even to see Aunt Em again."	でもあたしは絶対にだれも殺したくないのよ、エムおばさんにまた会うためとはいえ」
"I will go with you;	「わたしもいっしょに行こう。
but I'm too much of a coward to kill the Witch,"	でも臆病すぎて魔女を殺せないだろうが」
said the Lion.	とライオン。
"I will go too,"	「ぼくも行くよ」
declared the Scarecrow;	とかかしが宣言します。
"but I shall not be of much help to you, I am such a fool."	「でもあまり役には立てないだろうなあ、こんなにバカだから」
"I haven't the heart to harm even a Witch,"	「わたしは魔女を殺せるほどの心臓すらないんだよ」
remarked the Tin Woodman;	とブリキの木こりが言います。
"but if you go I certainly shall go with you."	「でもきみが行くなら、わたしも是非とも行こう」
Therefore it was decided to start upon their journey the next morning, and the Woodman sharpened his axe on a green grindstone and had all his joints properly oiled.	そういうわけで、翌朝出発することに決めまして、木こりは緑の砥石で斧を研いで、間接に全部きちんと油をさしました。
The Scarecrow stuffed himself with fresh straw and Dorothy put new paint on his eyes that he might see better.	かかしは新鮮なわらを詰め直し、ドロシーが目をきれいに描き直してもっとよく見えるようにしてあげました。
The green girl, who was very kind to them, filled Dorothy's basket with good things to eat, and fastened a little bell around Toto's neck with a green ribbon.	みんなにとても親切だった緑の少女は、ドロシーのバスケットにおいしい食べ物をたくさん詰めてくれて、トトの首に緑のリボンで小さな鈴をつけてくれました。
They went to bed quite early and slept soundly until daylight, when they were awakened by the crowing of a green cock that lived in the back yard of the Palace, and the cackling of a hen that had laid a green egg.	みんなずいぶん早く寝て、日が昇るまでぐっすり眠りましたが、宮殿の裏にすむ緑のオンドリのときの声と、緑の卵を産んだめんどりのコッコという鳴き声で目が覚めました。
12.  The Search for the Wicked Witch	12　邪悪な魔女をさがして
The soldier with the green whiskers led them through the streets of the Emerald City until they reached the room where the Guardian of the Gates lived.	緑のひげをはやした兵隊は、エメラルドの都の通りを案内して、一同は門の守備兵の住む部屋にやってきました。
This officer unlocked their spectacles to put them back in his great box, and then he politely opened the gate for our friends.	この係官はみんなのめがねの鍵をはずし、大きな箱に戻すと、礼儀正しくわれらが友人たちのために門を開けてくれました。
"Which road leads to the Wicked Witch of the West?"	「西の邪悪な魔女のところに行く道はどれですか？」
asked Dorothy.	とドロシーがたずねました。
"There is no road,"	「そんな道はないな。
answered the Guardian of the Gates.	そっちの方に行きたがる人はだれもおらんから」
"No one ever wishes to go that way."	と門の守備兵が答えました。
"How, then, are we to find her?"	「じゃあどうやって魔女をさがせというの？」
inquired the girl.	少女は問い詰めます。
"That will be easy,"	「それなら簡単だ。
"for when she knows you are in the country of the Winkies she will find you, and make you all her slaves."	あんたらがウィンキーたちの国に入ったことを知ったら、魔女のほうがあなたたちを見つけて、みんな自分の奴隷にしてしまうだろうから」
