TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
"I believe I understand.	「分かったと思う。
You have something to propose, and you wish to see the squire or the doctor,	あんたには言いたいことがあって、大地主さんか先生に会いたいわけだ。
and you're to be found where I found you.	それで僕があんたと会ったあの場所で会いたいわけだ。
Is that all?"	それでいいかい？」
"And when? says you,"	「あと、いつ？　ってことか」
he added.	ベンはつけくわえた。
"Why, from about noon observation to about six bells."	「そうだな、太陽をみて昼ごろから６点鐘ごろまでだな」
"Good,"	「わかった」
said I,	僕は言った。
"and now may I go?"	「僕は行くよ？」
"You won't forget?"	「忘れちまわねぇだろうな？」
he inquired anxiously.	ベンは心配そうに尋ねた。
"Precious sight, and reasons of his own, says you.	「貴いお方、そしてベンなりのわけがあると言うんだぞ。
Reasons of his own;	ベンなりのわけがあるとな。
that's the mainstay;	それが頼みの綱なんだから。
as between man and man.	男と男の約束だぞ。
Well, then"	よし、いいか」
--still holding me	まだ僕をつかんでいたが、
--"I reckon you can go, Jim.	「おれはおまえさんを行かせるよ、ジム。
And, Jim, if you was to see Silver, you wouldn't go for to sell Ben Gunn?	それでな、ジム、もしおまえさんがシルバーと会うようなことがあっても、まさかベン・ガンを売るようなことはしないだろうな？
Wild horses wouldn't draw it from you?	おまえは決して口を割らないな？
No, says you.	知らないっていうんだぞ。
And if them pirates camp ashore, Jim, what would you say but there'd be widders in the morning?"	もしやつら海賊どもが岸でキャンプでもするなら、ジム、朝には何人かは命を落としてると思うな」
Here he was interrupted by a loud report, and a cannonball came tearing through the trees and pitched in the sand not a hundred yards from where we two were talking.	ここで大音響がベンの言葉をさえぎり、一発の砲弾が木々の間を突き破り、僕ら２人が話していたところから100ヤードと離れていない砂地に落ちてきた。
The next moment each of us had taken to his heels in a different direction.	次の瞬間には、僕らはぱっとそれぞれの方向へ逃げ出した。
For a good hour to come frequent reports shook the island, and balls kept crashing through the woods.	たっぷり１時間は絶え間ない砲声が島を揺り動かし、砲弾は森を突き破って着弾した。
I moved from hiding-place to hiding-place, always pursued, or so it seemed to me, by these terrifying missiles.	僕がそう思っただけかもしれないが、常に砲弾に脅かされて追い立てられ、ある場所から別の場所へと隠れまわった。
But towards the end of the bombardment, though still I durst not venture in the direction of the stockade,	ただ砲撃が終わりに近づいたころにも、柵の方には足を向ける勇気が湧かなかった。
where the balls fell oftenest,	というのも柵の方は、砲弾が集中していた所だったから。
I had begun, in a manner, to pluck up my heart again, and after a long detour to the east, crept down among the shore-side trees.	ただ再びいくぶん勇気がもどってきて、東の方へ大きく迂回して、岸の木々の間をそろそろと進んでいった。
The sun had just set, the sea breeze was rustling and tumbling in the woods and ruffling the grey surface of the anchorage;	ちょうど日が沈み、海風が森の中を吹き抜け、ガサガサ音をたて木々を揺り動かし、停泊場所の薄暗い水面を波立たせていた。
the tide, too, was far out, and great tracts of sand lay uncovered;	潮もすっかり引いて、広々とした砂地が表れていた。
the air, after the heat of the day, chilled me through my jacket.	昼間の熱気の後では、夜気が上着を通しても僕の体を冷たくした。
The HISPANIOLA still lay where she had anchored;	ヒスパニオーラ号は、まだ錨を下ろした場所に停泊していた。
but, sure enough, there was the Jolly Roger--the black flag of piracy --flying from her peak.	ただ間違いなく、その上にたなびいていたのは海賊旗、真っ黒な海賊の旗だった。
