PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
An ironmonger added a scraper and an old lady ran up with a door-mat.	金物屋は玄関の中にくつのよごれをおとすマットを、ある老婦人は玄関の外にくつのよごれをおとすマットを備え付けました。
Carpenters arrived with a water-butt, and the painters insisted on painting it.	大工は雨水をためる樽を持ってきますし、ペンキ屋はそれにペンキをぬらなきゃと言い張りました。
Finished at last!	とうとう終わりです！
"Finished!	「おしまいだって！
how can it be finished,"	どうして終わったっていえるんだい、」
the plumber demanded scornfully,	鉛管屋があざ笑うようにいいました。
"before hot and cold are put in?"	「お湯と水がなくてね？」
and he put in hot and cold.	そしてお湯と水がでるようにしました。
Then an army of gardeners arrived with fairy carts and spades and seeds and bulbs and forcing-houses, and soon they had a flower garden to the right of the verandah and a vegetable garden to the left,	庭師の一団が妖精の手押しと鍬と種と球根と温室をもって駆けつけて、すぐにベランダの右側に花壇を左側に野菜園を作りました。
and roses and clematis on the walls of the house,	家の壁は、ばらとぼたんづるで飾り立てます。
and in less time than five minutes all these dear things were in full bloom.	そして数分もしないうちに、家も庭も花が咲き誇ったのでした。
Oh, how beautiful the little house was now!	まぁ、どれほどその小さな家は美しかったことでしょう！
But it was at last finished true as true,	でもとうとう本当のおしまいです。
and they had to leave it and return to the dance.	妖精たちはその場を離れて、ダンスに戻りました。
They all kissed their hands to it as they went away, and the last to go was Brownie.	去るときは家にむかって投げキッスをして、最後に家を離れるのはブローニーでした。
She stayed a moment behind the others to drop a pleasant dream down the chimney.	ブローニーは、煙突から楽しい夢を投げ込むために、他の妖精たちより少しあとまでとどまっていたのでした。
All through the night the exquisite little house stood there in the Figs taking care of Maimie,	よくできた小さな家はイチジクの森のその場所にマイミーを守るようにして、夜通し立っていました。
and she never knew.	マイミーはまったくそのことを知りませんでした。
She slept until the dream was quite finished and woke feeling deliciously cosy just as morning was breaking from its egg,	マイミーは夢がすっかり終わるまでぐっすり寝ており、まるで朝がたまごから生まれてきたようなとても快適な気分で目をさましました。
