PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
Hook tried a more ingratiating manner.	フックは機嫌をとるような調子でやってみました。
"If you are Hook,"	「おまえがフックなら、」
he said almost humbly,	ほとんどへりくだるくらいの調子で
"come tell me, who am I?"	「頼むから教えてくれよ、わしは一体だれなんだい？」とたずねました。
"A codfish,"	「タラだ」
replied the voice,	その声は答えました。
"only a codfish."	「しがない魚のタラだよ」
"A codfish!"	「タラだって！」
Hook echoed blankly,	フックはぽかんと口をあけて、繰り返しました。
and it was then, but not till then, that his proud spirit broke.	そのときに、まさにそのときになると、フックのプライドは張りさけんばかりでした。
He saw his men draw back from him.	フックは、手下どもが自分から距離をおくのが目に入りました。
"Have we been captained all this time by a codfish!" they muttered.	「わしらは、いままでタラを船長だなんて思ってたのか！
"It is lowering to our pride."	なんて恥さらしなんだ」２人はぶつぶつ言いました。
They were his dogs snapping at him, but, tragic figure though he had become, he scarcely heeded them.	飼い犬に手をかまれるようなものでしたが、フックは悲劇の主人公となっていたので、２人に注意を払うような余裕もありません。
Against such fearful evidence it was not their belief in him that he needed, it was his own.	こんな恐るべき証言に対抗するためには、手下どもがフックのことを信じるかではなく、まず自分で自分のことを信じられるが問題でした。
He felt his ego slipping from him.	フックは自分を信じる気持ちが、するりと自分から逃げ出していくように感じて、
"Don't desert me, bully,"	「おい、逃げるんじゃない」
he whispered hoarsely to it.	としゃがれ声で自分を信じる気持ちにささやきかけました。
In his dark nature there was a touch of the feminine,	フックの暗い性質には、ちょっと女性っぽいところがありました。
as in all the great pirates, and it sometimes gave him intuitions.	それは名を成した海賊たちにはみんな備わっているもので、それこそが時々ひらめきを与えてくれるのです。
Suddenly he tried the guessing game.	フックは突然、推理ゲームをはじめました。
"Hook," he called, "have you another voice?"	「フック、他の声も使えるのかい？」と本物のフック。
Now Peter could never resist a game, and he answered blithely in his own voice, "I have."	さてピーターはゲームにはどうしても参加しないではいられないので、陽気に自分の声で「もちろんだとも」と答えました。
"And another name?"	「じゃあ他の名前は？」
"Ay, ay."	「まあな」
"Vegetable?"	「野菜だな？」
asked Hook.	フックはたずねました。
"No."	「いいや」
"Mineral?"	「鉱物か？」
"No."	「いいや」
"Animal?"	「動物だ？」
"Yes."	「そうさ」
"Man?"	「オトナか？」
"No!"	「いいや、だんじて！」
This answer rang out scornfully.	この答えはさげずむように響きました。
"Boy?"	「男の子だな？」
"Yes."	「もちろんさ」
"Ordinary boy?"	「ふつうの男の子かい？」
"No!"	「いいや！」
"Wonderful boy?"	「素敵な男の子か？」
To Wendy's pain the answer that rang out this time was "Yes."	ウェンディには残念なことにこの時ひびきわたった答えも「そうに決まってるさ」でした。
