ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
"He has his own little methods, which are, if he won't mind my saying so, just a little too theoretical and fantastic, but he has the makings of a detective in him.	「この人には独自のちょっとした方式がありましてね、これがまあ、言わせてもらえれば、ほんのちょっと理論に偏り過ぎで空想的ですがね、探偵の素質はありますよ。
It is not too much to say that once or twice, as in that business of the Sholto murder and the Agra treasure, he has been more nearly correct than the official force."	一度か二度、あのショルトー殺しとアグラの財宝の事件のように、警察より真相に近かったことがあると言っても過言ではありません。」
"Oh, if you say so, Mr. Jones, it is all right,"	「ああ、あなたがそう言うなら、ジョーンズさん、結構ですよ」
said the stranger with deference.	と、まだよく知らないその人は服従して言った。
"Still, I confess that I miss my rubber.	「それでもねえ、実のところブリッジをやりそこねましたよ。
It is the first Saturday night for seven-and-twenty years that I have not had my rubber."	三番勝負をやらない土曜の夜は二十七年間で初めてです。」
"I think you will find,"	「今夜あなた方は、」
said Sherlock Holmes,	シャーロック・ホームズが言った、
"that you will play for a higher stake to-night than you have ever done yet, and that the play will be more exciting.	「これまでに経験のない大きな賭けをすることになるし、最高にわくわくする勝負になると思いますよ。
For you, Mr. Merryweather, the stake will be some 30,000 pounds;	あなたにとっては、メリーウェザーさん、約三万ポンドの賭けになります。
and for you, Jones, it will be the man upon whom you wish to lay your hands."	君にはね、ジョーンズ、君がつかまえたいと思っている男だ。」
"John Clay, the murderer, thief, smasher, and forger.	「殺人犯、泥棒、偽造犯、模造犯のジョン・クレイ。
He's a young man, Mr. Merryweather, but he is at the head of his profession, and I would rather have my bracelets on him than on any criminal in London.	若い男ですがね、メリーウェザーさん、その道ではトップですし、私はね、ロンドンのどんな犯罪者よりも奴に手錠をかけてやりたいんです。
He's a remarkable man, is young John Clay.	驚くべき男です、ジョン・クレイって奴は。
His grandfather was a royal duke, and he himself has been to Eton and Oxford.	おじいさんは王族の公爵、本人もイートンからオックスフォードです。
His brain is as cunning as his fingers, and though we meet signs of him at every turn, we never know where to find the man himself.	器用な上に知能の方も狡猾な奴でね、事あるごとにあいつの気配に出くわすんだが、あの男本人をどこで見つけたらいいのかわかったためしがない。
He'll crack a crib in Scotland one week, and be raising money to build an orphanage in Cornwall the next.	ある時はスコットランドでけちな窃盗をする、と次の週はコーンウォールで孤児院建設のために金を調達する。
I've been on his track for years and have never set eyes on him yet."	何年も追っていてまだ一度もあいつを見たことがないんです。」
"I hope that I may have the pleasure of introducing you to-night.	「今夜君に紹介させてもらえるといいねえ。
I've had one or two little turns also with Mr. John Clay, and I agree with you that he is at the head of his profession.	僕は一、二回ちょっとばかりジョン・クレイ氏と手合わせをしたが、君の言うとおりその道のトップだ。
It is past ten, however, and quite time that we started.	しかし十時を過ぎたし、まったくのところ出発する時間だ。
If you two will take the first hansom, Watson and I will follow in the second."	君たち二人が一台目のハンサムに乗れば、ワトソンと僕は二番目ので追っかけますよ。」
Sherlock Holmes was not very communicative during the long drive and lay back in the cab humming the tunes which he had heard in the afternoon.	長い道のりの間、シャーロック・ホームズはあまり話をせず、馬車の後ろにもたれ、昼間聞いた曲をハミングしていた。
We rattled through an endless labyrinth of gas-lit streets until we emerged into Farrington Street.	果てしなく入り組んだガス灯のともる街路を疾走し、やっと私たちはファリントン街へ出た。
